id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan,amar_code
44070,رودکان,0,,16,240,94,389,1106050001199191
44071,رودکل,0,,25,211,503,2025,105030002008914
44072,رودکن اباد,0,,17,158,828,1850,718020002071292
44073,رودکنار,0,,25,213,128,1168,114010001011550
44074,رودکور,0,,16,202,124,479,1108050001410158
44075,رودکی,0,,17,401,181,682,713060001084841
44076,رودگر,0,,16,415,557,588,1117020001811213
44077,رودگرمحله,0,,27,123,1062,586,205030001018573
44078,رودگز,0,,11,64,716,644,931010002160403
44079,رودگز,0,,11,69,717,2064,923020002158584
44080,رودگز,0,,11,369,469,1908,915030002161382
44081,رودگز,0,,21,338,887,1027,808050004112882
44082,رودگزسفلی,0,,11,64,716,323,931010001160404
44083,رودگزعلیا,0,,11,64,716,323,931010001160405
44084,رودگزوییه,0,,21,207,513,2581,811010003113522
44085,رودگلندام,0,,16,433,98,402,1107010001186372
44086,رودگلی چاهوک,0,,16,120,796,573,1121010002711590
44087,رودگوابر,0,,25,42,277,1558,113010002009987
44088,رودگور/کلات رودکور/,0,,10,429,714,2457,2905020002135988
44089,رودماهی,0,,16,225,1064,2498,1105030002411826
44090,رودمدان,0,,21,296,883,205,812010001094711
44091,رودمر,0,,11,69,717,2064,923020002158585
44092,رودمشک,0,,21,77,83,1240,802070001093532
44093,رودمعجن,1,5411,11,117,75,321,905010001138319
44094,رودمیان,0,,11,432,310,105,917020001399483
44095,رودمیانه,0,,25,219,492,2271,107050002010897
44096,رودنانی آپ,0,,16,242,806,1435,1123010002413088
44097,رودنون,0,,23,145,895,743,1706010001230228
44098,رودنی,0,,10,290,712,2372,2911020003151357
44099,رودنی,0,,13,359,427,1712,620010001065299
44100,رودوبالا,0,,21,214,488,1195,804030001381843
44101,رودوپشت باغا,0,,21,214,488,1195,804030001381842
44102,رودوپشتکندر,0,,21,214,488,1195,804030001381845
44103,روده,0,,21,138,31,139,803060001096107
44104,رودی,0,,16,242,806,1435,1123010002414970
44105,رودیک صاحبداد,0,,16,187,799,2509,1122010001191236
44106,رودیک کریم بخش,0,,16,187,799,2509,1122010001191212
44107,رودیک محمودپایین,0,,16,187,799,2509,1122010001410820
44108,رودیک ملاداد,0,,16,187,799,2509,1122010001412513
44109,رودین,0,,21,214,488,1195,804030001100309
44110,رودین,0,,21,214,877,1408,804020009105408
44111,رودینار,0,,16,152,798,149,1103010006413855
44112,روران,1,5688,4,37,596,333,1002030001175029
44113,رورز,0,,21,279,882,2315,807010008100310
44114,روزاباد,0,,21,60,871,1748,801030005091499
44115,روزبدان,0,,17,314,841,631,709030003079410
44116,روزبه اباد,0,,21,279,882,130,807010001109418
44117,روزبه قهرمان  /علی محمدحسامی /,0,,11,246,582,2323,920010003164549
44118,روزرک,0,,13,51,756,893,604030002057427
44119,روزکین,0,,21,138,329,1361,803010002096743
44120,روزگاو,0,,10,318,1080,2536,2904030003155916
44121,روزگیره,0,,26,157,120,763,1503020001218693
44122,روزمیانکی,0,,26,157,120,594,1503020006216293
44123,روزنه,0,,13,49,433,2341,603050001055716
44124,روزو,0,,11,69,717,2064,923020002396782
44125,روزی,0,,1,436,655,124,324020001027196
44126,روزیان,0,,17,392,369,1207,712060002083760
44127,روستا,0,,9,353,703,2429,1406020003440722
44128,روستای آزادگان,0,,21,296,883,2306,812010004384676
44129,روستای ابولفضل بن مغ,0,,21,402,9,324,813020001808178
